Datetime;Resolution code;Control area;Physical Flow Value
2021-12-01T16:00:00+01:00;PT15M;Germany;-671.348
2021-12-01T16:00:00+01:00;PT15M;UnitedKingdom;869.543
2021-12-01T16:00:00+01:00;PT15M;Luxembourg;143.025
2021-12-01T16:00:00+01:00;PT15M;Netherlands;304.228
2021-12-01T16:00:00+01:00;PT15M;France;299.608
2021-12-01T15:45:00+01:00;PT15M;Netherlands;283.36
2021-12-01T15:45:00+01:00;PT15M;Luxembourg;84.875
2021-12-01T15:45:00+01:00;PT15M;UnitedKingdom;925.945
2021-12-01T15:45:00+01:00;PT15M;France;-322.42
2021-12-01T15:45:00+01:00;PT15M;Germany;-519.664
2021-12-01T15:30:00+01:00;PT15M;Netherlands;261.972
2021-12-01T15:30:00+01:00;PT15M;Germany;-501.404
2021-12-01T15:30:00+01:00;PT15M;UnitedKingdom;926.084
2021-12-01T15:30:00+01:00;PT15M;France;-356.38
2021-12-01T15:30:00+01:00;PT15M;Luxembourg;77.168
2021-12-01T15:15:00+01:00;PT15M;Germany;-499.612
2021-12-01T15:15:00+01:00;PT15M;Luxembourg;72.638
2021-12-01T15:15:00+01:00;PT15M;Netherlands;286.636
2021-12-01T15:15:00+01:00;PT15M;France;-338.7
2021-12-01T15:15:00+01:00;PT15M;UnitedKingdom;926.065
2021-12-01T15:00:00+01:00;PT15M;Netherlands;195.584
2021-12-01T15:00:00+01:00;PT15M;France;-199.94
2021-12-01T15:00:00+01:00;PT15M;Luxembourg;57.917
2021-12-01T15:00:00+01:00;PT15M;UnitedKingdom;926.149
2021-12-01T15:00:00+01:00;PT15M;Germany;-503.444
2021-12-01T14:45:00+01:00;PT15M;France;-126.336
2021-12-01T14:45:00+01:00;PT15M;Luxembourg;100.563
2021-12-01T14:45:00+01:00;PT15M;UnitedKingdom;909.537
2021-12-01T14:45:00+01:00;PT15M;Netherlands;407.444
2021-12-01T14:45:00+01:00;PT15M;Germany;-579.324
2021-12-01T14:30:00+01:00;PT15M;France;-130.436
2021-12-01T14:30:00+01:00;PT15M;Germany;-586.464
2021-12-01T14:30:00+01:00;PT15M;Luxembourg;80.651
2021-12-01T14:30:00+01:00;PT15M;Netherlands;452.832
2021-12-01T14:30:00+01:00;PT15M;UnitedKingdom;909.732
2021-12-01T14:15:00+01:00;PT15M;UnitedKingdom;909.509
2021-12-01T14:15:00+01:00;PT15M;Netherlands;442.576
2021-12-01T14:15:00+01:00;PT15M;Germany;-586.444
2021-12-01T14:15:00+01:00;PT15M;Luxembourg;59.058
2021-12-01T14:15:00+01:00;PT15M;France;-139.196
2021-12-01T14:00:00+01:00;PT15M;Netherlands;209.672
2021-12-01T14:00:00+01:00;PT15M;Germany;-595.22
2021-12-01T14:00:00+01:00;PT15M;France;10.344
2021-12-01T14:00:00+01:00;PT15M;Luxembourg;51.988
2021-12-01T14:00:00+01:00;PT15M;UnitedKingdom;903.696
2021-12-01T13:45:00+01:00;PT15M;France;142.604
2021-12-01T13:45:00+01:00;PT15M;Luxembourg;70.22
2021-12-01T13:45:00+01:00;PT15M;UnitedKingdom;641.966
