Datetime;Resolution code;Elia Grid Load
2019-01-11T15:15:00+01:00;PT15M;10777.81
2019-01-11T15:00:00+01:00;PT15M;10816.5
2019-01-11T14:45:00+01:00;PT15M;10867.24
2019-01-11T14:30:00+01:00;PT15M;10842.16
2019-01-11T14:15:00+01:00;PT15M;10950.33
2019-01-11T14:00:00+01:00;PT15M;10900.74
2019-01-11T13:45:00+01:00;PT15M;10943.69
2019-01-11T13:30:00+01:00;PT15M;11164.28
2019-01-11T13:15:00+01:00;PT15M;11311.84
2019-01-11T13:00:00+01:00;PT15M;11401.19
2019-01-11T12:45:00+01:00;PT15M;11334.37
2019-01-11T12:30:00+01:00;PT15M;11356.02
2019-01-11T12:15:00+01:00;PT15M;11253.15
2019-01-11T12:00:00+01:00;PT15M;11418.2
2019-01-11T11:45:00+01:00;PT15M;11575.32
2019-01-11T11:30:00+01:00;PT15M;11614.13
2019-01-11T11:15:00+01:00;PT15M;11589.5
2019-01-11T11:00:00+01:00;PT15M;11574.98
2019-01-11T10:45:00+01:00;PT15M;11581.9
2019-01-11T10:30:00+01:00;PT15M;11609.38
2019-01-11T10:15:00+01:00;PT15M;11524.69
2019-01-11T10:00:00+01:00;PT15M;11604.76
2019-01-11T09:45:00+01:00;PT15M;11692.6
2019-01-11T09:30:00+01:00;PT15M;11810.24
2019-01-11T09:15:00+01:00;PT15M;11794.01
2019-01-11T09:00:00+01:00;PT15M;11757.63
2019-01-11T08:45:00+01:00;PT15M;11706.25
2019-01-11T08:30:00+01:00;PT15M;11721.13
2019-01-11T08:15:00+01:00;PT15M;11709.75
2019-01-11T08:00:00+01:00;PT15M;11608.65
2019-01-11T07:45:00+01:00;PT15M;11545.46
2019-01-11T07:30:00+01:00;PT15M;11485.77
2019-01-11T07:15:00+01:00;PT15M;11255.43
2019-01-11T07:00:00+01:00;PT15M;11059.87
2019-01-11T06:45:00+01:00;PT15M;10744.74
2019-01-11T06:30:00+01:00;PT15M;10500.16
2019-01-11T06:15:00+01:00;PT15M;10250.93
2019-01-11T06:00:00+01:00;PT15M;10016.71
2019-01-11T05:45:00+01:00;PT15M;9565.27
2019-01-11T05:30:00+01:00;PT15M;9294.66
2019-01-11T05:15:00+01:00;PT15M;9169.68
2019-01-11T05:00:00+01:00;PT15M;9017.17
2019-01-11T04:45:00+01:00;PT15M;9001.54
2019-01-11T04:30:00+01:00;PT15M;8937.41
