Datetime;Resolution code;Region;Measured & upscaled;Most recent forecast;Day Ahead 11AM Forecast;Day-ahead 6PM forecast;Week-ahead forecast;Monitored capacity;Load factor
2022-06-22T21:15:00+02:00;PT15M;Walloon-Brabant;0.0;1.42;0.0;0.0;0.0;122.48;0.0
2022-06-22T21:00:00+02:00;PT15M;Flanders;0.0;100.4;0.0;0.0;0.0;4339.61;0.0
2022-06-22T21:00:00+02:00;PT15M;Limburg;0.0;12.11;0.0;0.0;0.0;624.64;0.0
2022-06-22T21:00:00+02:00;PT15M;Liège;0.0;9.28;0.0;0.0;0.0;634.93;0.0
2022-06-22T21:00:00+02:00;PT15M;Flemish-Brabant;0.0;10.86;0.0;0.0;0.0;514.58;0.0
2022-06-22T21:00:00+02:00;PT15M;Walloon-Brabant;0.0;2.47;0.0;0.0;0.0;122.48;0.0
2022-06-22T21:00:00+02:00;PT15M;Luxembourg;0.0;2.43;0.0;0.0;0.0;153.14;0.0
2022-06-22T21:00:00+02:00;PT15M;Namur;0.0;3.58;0.0;0.0;0.0;195.15;0.0
2022-06-22T21:00:00+02:00;PT15M;Wallonia;0.0;26.47;0.0;0.0;0.0;1536.84;0.0
2022-06-22T21:00:00+02:00;PT15M;West-Flanders;0.0;23.77;0.0;0.0;0.0;944.04;0.0
2022-06-22T21:00:00+02:00;PT15M;Belgium;0.0;129.51;0.0;0.0;0.0;6004.92;0.0
2022-06-22T21:00:00+02:00;PT15M;Brussels;0.0;2.64;0.0;0.0;0.0;128.47;0.0
2022-06-22T21:00:00+02:00;PT15M;Hainaut;0.0;8.71;0.0;0.0;0.0;431.13;0.0
2022-06-22T21:00:00+02:00;PT15M;Antwerp;0.0;26.38;0.0;0.0;0.0;1129.31;0.0
2022-06-22T21:00:00+02:00;PT15M;East-Flanders;0.0;27.28;0.0;0.0;0.0;1127.04;0.0
2022-06-22T20:45:00+02:00;PT15M;Wallonia;0.0;41.21;0.0;0.0;0.0;1536.84;0.0
2022-06-22T20:45:00+02:00;PT15M;Belgium;0.0;194.5;0.0;0.0;0.0;6004.92;0.0
2022-06-22T20:45:00+02:00;PT15M;Brussels;0.0;4.07;0.0;0.0;0.0;128.47;0.0
2022-06-22T20:45:00+02:00;PT15M;Namur;0.0;5.62;0.0;0.0;0.0;195.15;0.0
2022-06-22T20:45:00+02:00;PT15M;Liège;0.0;14.68;0.0;0.0;0.0;634.93;0.0
2022-06-22T20:45:00+02:00;PT15M;Flemish-Brabant;0.0;16.64;0.0;0.0;0.0;514.58;0.0
2022-06-22T20:45:00+02:00;PT15M;Antwerp;0.0;38.97;0.0;0.0;0.0;1129.31;0.0
2022-06-22T20:45:00+02:00;PT15M;Walloon-Brabant;0.0;3.78;0.0;0.0;0.0;122.48;0.0
2022-06-22T20:45:00+02:00;PT15M;Luxembourg;0.0;3.87;0.0;0.0;0.0;153.14;0.0
2022-06-22T20:45:00+02:00;PT15M;Flanders;0.0;149.21;0.0;0.0;0.0;4339.61;0.0
2022-06-22T20:45:00+02:00;PT15M;Hainaut;0.0;13.27;0.0;0.0;0.0;431.13;0.0
2022-06-22T20:45:00+02:00;PT15M;West-Flanders;0.0;34.98;0.0;0.0;0.0;944.04;0.0
2022-06-22T20:45:00+02:00;PT15M;East-Flanders;0.0;40.31;0.0;0.0;0.0;1127.04;0.0
